geneID,Gene.Name,Gene.stable.ID,Subject.sequence.ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Protein.annotations
gene423,ogdh,ENSPMEG00000004058,sp|Q02218|ODO1_HUMAN,624.8803727,-4.206358775,0.296833118,-14.17078663,1.39E-45,1.73E-42,"2-oxoglutarate dehydrogenase, mitochondrial OS=Homo sapiens GN=OGDH PE=1 SV=3"
gene804,LOC106919301,ENSPMEG00000015661,sp|Q9UHF3|NAT8B_HUMAN,301.0142876,-1.696108699,0.122742662,-13.8184122,1.97E-43,2.33E-40,Putative N-acetyltransferase 8B OS=Homo sapiens GN=NAT8B PE=5 SV=1
gene12452,LOC106924223,ENSPMEG00000000220,sp|Q9NRX3|NUA4L_HUMAN,1537.349582,-3.133603838,0.230772814,-13.57873911,5.35E-42,5.98E-39,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4-like 2 OS=Homo sapiens GN=NDUFA4L2 PE=3 SV=1
gene31197,LOC106913262,NA,sp|P55017|S12A3_HUMAN,1632.624707,-4.676687113,0.350106969,-13.35788065,1.07E-40,1.13E-37,Solute carrier family 12 member 3 OS=Homo sapiens GN=SLC12A3 PE=1 SV=3
gene23620,LOC106905162,NA,sp|O00370|LORF2_HUMAN,628.4183287,-2.896079181,0.220788278,-13.11699699,2.63E-39,2.66E-36,LINE-1 retrotransposable element ORF2 protein OS=Homo sapiens PE=1 SV=1
gene1687,slc26a5,ENSPMEG00000006020,sp|P58743|S26A5_HUMAN,1253.067534,2.008454764,0.154520744,12.99796201,1.26E-38,1.21E-35,Prestin OS=Homo sapiens GN=SLC26A5 PE=2 SV=1
gene7194,ahcyl1,ENSPMEG00000002002,sp|Q96HN2|SAHH3_HUMAN,1058.177382,-3.653547887,0.28579669,-12.78373057,2.02E-37,1.79E-34,Adenosylhomocysteinase 3 OS=Homo sapiens GN=AHCYL2 PE=1 SV=1
gene7380,LOC106918698,ENSPMEG00000019170,sp|P10721|KIT_HUMAN,182.2175745,-2.865430324,0.224142726,-12.78395414,2.02E-37,1.79E-34,Mast/stem cell growth factor receptor Kit OS=Homo sapiens GN=KIT PE=1 SV=1
gene6323,slc26a11,ENSPMEG00000014177,sp|Q86WA9|S2611_HUMAN,460.8519017,1.819964692,0.145500314,12.5083214,6.72E-36,5.71E-33,Sodium-independent sulfate anion transporter OS=Homo sapiens GN=SLC26A11 PE=2 SV=2
gene25230,LOC106906895,NA,sp|P25325|THTM_HUMAN,959.2058918,3.056857204,0.245493231,12.45190014,1.37E-35,1.11E-32,3-mercaptopyruvate sulfurtransferase OS=Homo sapiens GN=MPST PE=1 SV=3
gene25685,LOC106907371,ENSPMEG00000006935,sp|P78417|GSTO1_HUMAN,423.4071176,-7.95553499,0.64593952,-12.31622272,7.41E-35,5.82E-32,Glutathione S-transferase omega-1 OS=Homo sapiens GN=GSTO1 PE=1 SV=2
gene3668,LOC106914638,ENSPMEG00000024110,sp|P46019|KPB2_HUMAN,128.3674837,-3.185350397,0.258986718,-12.29928091,9.14E-35,6.92E-32,"Phosphorylase b kinase regulatory subunit alpha, liver isoform OS=Homo sapiens GN=PHKA2 PE=1 SV=1"
gene15400,bmp10,ENSPMEG00000009609,sp|O95393|BMP10_HUMAN,103.206242,2.831222454,0.231759005,12.21623495,2.55E-34,1.86E-31,Bone morphogenetic protein 10 OS=Homo sapiens GN=BMP10 PE=1 SV=1
gene4542,LOC106915608,ENSPMEG00000000289,sp|Q04695|K1C17_HUMAN,641.8612497,-2.380787431,0.19800016,-12.02416921,2.65E-33,1.88E-30,"Keratin, type I cytoskeletal 17 OS=Homo sapiens GN=KRT17 PE=1 SV=2"
gene14378,LOC106926351,ENSPMEG00000008748,sp|O43865|SAHH2_HUMAN,783.6737308,-2.069007216,0.173508651,-11.92451905,8.82E-33,6.04E-30,Adenosylhomocysteinase 2 OS=Homo sapiens GN=AHCYL1 PE=1 SV=2
gene18970,pgd,ENSPMEG00000016828,sp|P52209|6PGD_HUMAN,1968.618533,1.457437171,0.1235219,11.79901835,3.95E-32,2.62E-29,"6-phosphogluconate dehydrogenase, decarboxylating OS=Homo sapiens GN=PGD PE=1 SV=3"
gene7975,LOC106919344,NA,sp|Q0VF96|CGNL1_HUMAN,281.9843879,-1.74541789,0.148233864,-11.7747581,5.27E-32,3.39E-29,Cingulin-like protein 1 OS=Homo sapiens GN=CGNL1 PE=1 SV=2
gene15561,slc9a3,ENSPMEG00000004293,sp|P48764|SL9A3_HUMAN,13910.81901,-2.231667038,0.189656329,-11.7668999,5.78E-32,3.61E-29,Sodium/hydrogen exchanger 3 OS=Homo sapiens GN=SLC9A3 PE=1 SV=2
gene24938,LOC106906570,NA,sp|O43520|AT8B1_HUMAN,96.7530599,-10.03605377,0.859934652,-11.67071678,1.80E-31,1.09E-28,Phospholipid-transporting ATPase IC OS=Homo sapiens GN=ATP8B1 PE=1 SV=3
gene16146,LOC106928246,ENSPMEG00000001393,sp|A6NKP2|D42E2_HUMAN,115.700869,3.884855501,0.33341643,11.65166186,2.25E-31,1.33E-28,Putative short-chain dehydrogenase/reductase family 42E member 2 OS=Homo sapiens GN=SDR42E2 PE=3 SV=3
gene30747,LOC106912818,ENSPMEG00000018089,sp|P11142|HSP7C_HUMAN,516.287592,-3.086202835,0.266433167,-11.58340334,5.00E-31,2.87E-28,Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=1 SV=1
gene11384,cdo1,ENSPMEG00000008462,sp|Q16878|CDO1_HUMAN,388.6881726,2.856341497,0.24685004,11.57116076,5.77E-31,3.22E-28,Cysteine dioxygenase type 1 OS=Homo sapiens GN=CDO1 PE=1 SV=2
gene6815,efemp1,ENSPMEG00000016731,sp|Q12805|FBLN3_HUMAN,2510.518634,1.485086113,0.129265949,11.4886103,1.51E-30,8.19E-28,EGF-containing fibulin-like extracellular matrix protein 1 OS=Homo sapiens GN=EFEMP1 PE=1 SV=2
gene20086,LOC106932478,ENSPMEG00000020698,sp|Q9HCM9|TRI39_HUMAN,370.2870961,-1.823841793,0.159219771,-11.45487012,2.22E-30,1.18E-27,E3 ubiquitin-protein ligase TRIM39 OS=Homo sapiens GN=TRIM39 PE=1 SV=2
gene22980,chp1,ENSPMEG00000003930,sp|Q99653|CHP1_HUMAN,5585.425911,-1.975739637,0.172599395,-11.44696732,2.44E-30,1.26E-27,Calcineurin B homologous protein 1 OS=Homo sapiens GN=CHP1 PE=1 SV=3
gene30716,LOC106912783,ENSPMEG00000018722,sp|P11142|HSP7C_HUMAN,537.2469786,-3.09093312,0.27020948,-11.43902544,2.67E-30,1.35E-27,Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=1 SV=1
gene787,capn3,ENSPMEG00000017913,sp|P20807|CAN3_HUMAN,58.25088035,6.011771194,0.527356304,11.39982806,4.19E-30,2.07E-27,Calpain-3 OS=Homo sapiens GN=CAPN3 PE=1 SV=2
gene28044,ndufa4l2,ENSPMEG00000023112,NA,166.389595,1.83398948,0.161959328,11.32376565,1.00E-29,4.83E-27,NA
gene11869,LOC106923588,ENSPMEG00000009744,sp|P12104|FABPI_HUMAN,373.8327523,-2.463896713,0.219443164,-11.22794927,2.97E-29,1.40E-26,"Fatty acid-binding protein, intestinal OS=Homo sapiens GN=FABP2 PE=1 SV=2"
gene16360,slc25a10,ENSPMEG00000019852,sp|Q9UBX3|DIC_HUMAN,1210.670121,1.674473775,0.14977929,11.17960821,5.13E-29,2.37E-26,Mitochondrial dicarboxylate carrier OS=Homo sapiens GN=SLC25A10 PE=1 SV=2
gene2425,LOC106906908,ENSPMEG00000024273,sp|Q15599|NHRF2_HUMAN,717.660432,-2.20072753,0.197103169,-11.16535844,6.02E-29,2.72E-26,Na(+)/H(+) exchange regulatory cofactor NHE-RF2 OS=Homo sapiens GN=SLC9A3R2 PE=1 SV=2
gene21503,LOC106934023,ENSPMEG00000019337,sp|P21145|MAL_HUMAN,1480.590468,-2.206702932,0.200636296,-10.99852307,3.88E-28,1.72E-25,Myelin and lymphocyte protein OS=Homo sapiens GN=MAL PE=1 SV=1
gene7669,LOC106919016,ENSPMEG00000004416,sp|Q06830|PRDX1_HUMAN,2857.627892,1.918682366,0.175365817,10.94102829,7.34E-28,3.18E-25,Peroxiredoxin-1 OS=Homo sapiens GN=PRDX1 PE=1 SV=1
gene24320,baiap2l1,ENSPMEG00000008370,sp|Q9UHR4|BI2L1_HUMAN,543.100809,1.415754851,0.129544972,10.92867465,8.41E-28,3.57E-25,Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1 OS=Homo sapiens GN=BAIAP2L1 PE=1 SV=2
gene9315,esrrg,ENSPMEG00000010671,sp|P62508|ERR3_HUMAN,682.3797352,-2.949687329,0.270169551,-10.91791182,9.46E-28,3.94E-25,Estrogen-related receptor gamma OS=Homo sapiens GN=ESRRG PE=1 SV=1
gene12976,LOC106924816,ENSPMEG00000014287,NA,786.7782861,-1.691841813,0.156194439,-10.83163921,2.44E-27,9.95E-25,NA
gene5654,LOC106916824,ENSPMEG00000012335,sp|P13688|CEAM1_HUMAN,15714.00183,-3.01871251,0.281169901,-10.7362577,6.88E-27,2.75E-24,Carcinoembryonic antigen-related cell adhesion molecule 1 OS=Homo sapiens GN=CEACAM1 PE=1 SV=2
gene18805,LOC106931099,ENSPMEG00000021457,sp|Q12951|FOXI1_HUMAN,3708.958326,-1.747239291,0.163770614,-10.66882052,1.42E-26,5.60E-24,Forkhead box protein I1 OS=Homo sapiens GN=FOXI1 PE=1 SV=3
gene14812,LOC106926809,ENSPMEG00000013566,sp|Q96RQ9|OXLA_HUMAN,480.8028191,2.095931043,0.197463225,10.6142855,2.56E-26,9.87E-24,L-amino-acid oxidase OS=Homo sapiens GN=IL4I1 PE=1 SV=1
gene13842,cers3,ENSPMEG00000005928,sp|Q96G23|CERS2_HUMAN,430.7715947,-1.809298543,0.171055555,-10.57725685,3.80E-26,1.44E-23,Ceramide synthase 2 OS=Homo sapiens GN=CERS2 PE=1 SV=1
gene26644,LOC106908428,ENSPMEG00000021823,sp|P25325|THTM_HUMAN,3154.086682,2.726403855,0.262143783,10.40041392,2.47E-25,9.19E-23,3-mercaptopyruvate sulfurtransferase OS=Homo sapiens GN=MPST PE=1 SV=3
gene28334,LOC106910224,ENSPMEG00000015653,sp|Q2M3D2|EX3L2_HUMAN,1526.56358,-1.420019381,0.137210766,-10.34918339,4.22E-25,1.54E-22,Exocyst complex component 3-like protein 2 OS=Homo sapiens GN=EXOC3L2 PE=2 SV=1
gene26880,LOC106908682,ENSPMEG00000015666,NA,1733.46631,1.685837295,0.163025033,10.34097198,4.60E-25,1.65E-22,NA
gene12921,LOC106924755,ENSPMEG00000015713,sp|Q9H583|HEAT1_HUMAN,1308.213568,-2.260088249,0.219408034,-10.30084545,6.98E-25,2.47E-22,HEAT repeat-containing protein 1 OS=Homo sapiens GN=HEATR1 PE=1 SV=3
gene3100,LOC106914022,ENSPMEG00000021333,sp|Q9Y2A9|B3GN3_HUMAN,170.6405582,-2.438816079,0.237993701,-10.24739757,1.22E-24,4.23E-22,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 3 OS=Homo sapiens GN=B3GNT3 PE=1 SV=2"
gene14980,mapre3,ENSPMEG00000006079,sp|Q9UPY8|MARE3_HUMAN,400.2254789,-2.112056354,0.206372061,-10.2342165,1.39E-24,4.77E-22,Microtubule-associated protein RP/EB family member 3 OS=Homo sapiens GN=MAPRE3 PE=1 SV=1
gene19213,LOC106931525,ENSPMEG00000008742,sp|P08779|K1C16_HUMAN,1621.499853,-2.368603677,0.231527912,-10.23031588,1.45E-24,4.88E-22,"Keratin, type I cytoskeletal 16 OS=Homo sapiens GN=KRT16 PE=1 SV=4"
gene19892,LOC106932281,ENSPMEG00000002932,sp|P05026|AT1B1_HUMAN,13786.66052,-2.283270516,0.223311158,-10.22461457,1.54E-24,5.10E-22,Sodium/potassium-transporting ATPase subunit beta-1 OS=Homo sapiens GN=ATP1B1 PE=1 SV=1
gene322,slc46a2,ENSPMEG00000010327,sp|Q9BY10|TSCOT_HUMAN,462.859167,1.186698907,0.116416297,10.19358057,2.12E-24,6.91E-22,Thymic stromal cotransporter homolog OS=Homo sapiens GN=SLC46A2 PE=2 SV=1
gene23621,LOC106905163,NA,sp|P51788|CLCN2_HUMAN,198.9747521,-6.03536183,0.602776913,-10.0125962,1.34E-23,4.31E-21,Chloride channel protein 2 OS=Homo sapiens GN=CLCN2 PE=1 SV=2
gene23961,tmx2,ENSPMEG00000021034,sp|Q9Y320|TMX2_HUMAN,367.1206643,-1.567591043,0.15662014,-10.0088727,1.39E-23,4.41E-21,Thioredoxin-related transmembrane protein 2 OS=Homo sapiens GN=TMX2 PE=1 SV=1
gene2125,mtfr1,ENSPMEG00000012978,sp|Q15390|MTFR1_HUMAN,225.441877,-1.596684648,0.159562998,-10.0066097,1.43E-23,4.45E-21,Mitochondrial fission regulator 1 OS=Homo sapiens GN=MTFR1 PE=1 SV=2
gene9139,LOC106920615,ENSPMEG00000018189,sp|Q9UBY9|HSPB7_HUMAN,36.36224863,-3.796117328,0.380511639,-9.976350101,1.93E-23,5.95E-21,Heat shock protein beta-7 OS=Homo sapiens GN=HSPB7 PE=1 SV=1
gene21123,LOC106933606,ENSPMEG00000004455,sp|P23769|GATA2_HUMAN,2124.560471,1.269792219,0.127415841,9.965732777,2.15E-23,6.52E-21,Endothelial transcription factor GATA-2 OS=Homo sapiens GN=GATA2 PE=1 SV=3
gene1282,LOC106924576,ENSPMEG00000019820,sp|Q53RY4|KCP3_HUMAN,121.941088,2.394517565,0.241680245,9.907791857,3.85E-23,1.15E-20,Keratinocyte-associated protein 3 OS=Homo sapiens GN=KRTCAP3 PE=2 SV=1
gene20084,LOC106932489,ENSPMEG00000020732,sp|P25685|DNJB1_HUMAN,653.2333439,-1.203678184,0.121555225,-9.902315471,4.07E-23,1.20E-20,DnaJ homolog subfamily B member 1 OS=Homo sapiens GN=DNAJB1 PE=1 SV=4
gene8635,otop2,ENSPMEG00000015803,sp|Q7RTS6|OTOP2_HUMAN,1367.939196,-2.444384043,0.24803647,-9.854938035,6.53E-23,1.87E-20,Otopetrin-2 OS=Homo sapiens GN=OTOP2 PE=2 SV=3
gene8453,LOC106919873,ENSPMEG00000023358,sp|P05023|AT1A1_HUMAN,44486.08667,-1.972517,0.200147129,-9.855334991,6.50E-23,1.87E-20,Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens GN=ATP1A1 PE=1 SV=1
gene3860,myo18a,ENSPMEG00000014619,sp|Q92614|MY18A_HUMAN,529.2376894,1.187945109,0.120885441,9.827032124,8.61E-23,2.40E-20,Unconventional myosin-XVIIIa OS=Homo sapiens GN=MYO18A PE=1 SV=3
gene17534,LOC106929740,ENSPMEG00000022447,sp|B7ZAP0|RBG10_HUMAN,123.1409554,2.09575474,0.213237293,9.828274932,8.51E-23,2.40E-20,"Rab GTPase-activating protein 1-like, isoform 10 OS=Homo sapiens GN=RABGAP1L PE=1 SV=1"
gene27836,LOC106909710,NA,NA,43.38393856,-6.789527461,0.691751742,-9.814977029,9.71E-23,2.67E-20,NA
gene15865,hapln3,ENSPMEG00000016469,sp|P10915|HPLN1_HUMAN,87.23797782,-2.842523762,0.28969116,-9.812255772,9.97E-23,2.71E-20,Hyaluronan and proteoglycan link protein 1 OS=Homo sapiens GN=HAPLN1 PE=2 SV=2
gene19215,LOC106931526,ENSPMEG00000008715,sp|P08779|K1C16_HUMAN,1070.111243,-2.479460506,0.25299344,-9.80049327,1.12E-22,3.01E-20,"Keratin, type I cytoskeletal 16 OS=Homo sapiens GN=KRT16 PE=1 SV=4"
gene28678,LOC106910597,ENSPMEG00000005139,sp|Q9Y6M7|S4A7_HUMAN,623.5614752,1.472986785,0.150897287,9.761519344,1.65E-22,4.37E-20,Sodium bicarbonate cotransporter 3 OS=Homo sapiens GN=SLC4A7 PE=1 SV=2
gene2102,LOC106934218,ENSPMEG00000013776,NA,671.6434544,-2.030659779,0.208522774,-9.738311741,2.07E-22,5.42E-20,NA
gene11853,colq,ENSPMEG00000010571,sp|Q9Y215|COLQ_HUMAN,56.48089507,5.587560272,0.575525456,9.708624022,2.77E-22,7.17E-20,Acetylcholinesterase collagenic tail peptide OS=Homo sapiens GN=COLQ PE=1 SV=2
gene13874,LOC106925802,ENSPMEG00000005116,sp|O15466|SIA8E_HUMAN,67.975003,-5.466806609,0.56325443,-9.705749861,2.85E-22,7.28E-20,"Alpha-2,8-sialyltransferase 8E OS=Homo sapiens GN=ST8SIA5 PE=1 SV=2"
gene1600,LOC106928242,NA,sp|Q96CX2|KCD12_HUMAN,379.4052031,-1.531438218,0.158167979,-9.682353067,3.58E-22,9.05E-20,BTB/POZ domain-containing protein KCTD12 OS=Homo sapiens GN=KCTD12 PE=1 SV=1
gene395,LOC106914948,ENSPMEG00000008195,NA,48.71626964,-2.680212672,0.277749494,-9.649748161,4.93E-22,1.23E-19,NA
gene112,LOC106921309,ENSPMEG00000019559,sp|O14493|CLD4_HUMAN,2658.780086,-1.836744196,0.191755648,-9.578566364,9.84E-22,2.43E-19,Claudin-4 OS=Homo sapiens GN=CLDN4 PE=1 SV=1
gene23017,LOC106904511,ENSPMEG00000003308,sp|Q99259|DCE1_HUMAN,124.368242,-3.066110208,0.320278567,-9.573260654,1.04E-21,2.53E-19,Glutamate decarboxylase 1 OS=Homo sapiens GN=GAD1 PE=1 SV=1
gene27719,LOC106909580,ENSPMEG00000012815,sp|P22897|MRC1_HUMAN,33.84977139,-8.517284386,0.891937451,-9.549194705,1.31E-21,3.15E-19,Macrophage mannose receptor 1 OS=Homo sapiens GN=MRC1 PE=1 SV=1
gene31014,LOC106913084,ENSPMEG00000014332,NA,230.3942699,1.381901425,0.144767999,9.545627732,1.35E-21,3.22E-19,NA
gene24528,LOC106906127,ENSPMEG00000002511,sp|Q9Y2A9|B3GN3_HUMAN,915.5748036,3.105804434,0.325455881,9.542935366,1.39E-21,3.27E-19,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 3 OS=Homo sapiens GN=B3GNT3 PE=1 SV=2"
gene6943,LOC106918232,ENSPMEG00000010608,sp|P0CF74|LAC6_HUMAN,157.7371292,-3.297463064,0.345718813,-9.53799139,1.46E-21,3.36E-19,Ig lambda-6 chain C region OS=Homo sapiens GN=IGLC6 PE=4 SV=1
gene7544,gsr,ENSPMEG00000013792,sp|P00390|GSHR_HUMAN,1312.999203,1.309563025,0.137295005,9.538315138,1.45E-21,3.36E-19,"Glutathione reductase, mitochondrial OS=Homo sapiens GN=GSR PE=1 SV=2"
gene24790,LOC106906414,ENSPMEG00000015463,NA,132.5451884,2.230864041,0.234818639,9.50037039,2.09E-21,4.77E-19,NA
gene20102,nt5m,ENSPMEG00000019995,sp|Q9NPB1|NT5M_HUMAN,206.8583885,-1.102021904,0.116295993,-9.476009217,2.64E-21,5.96E-19,"5'(3')-deoxyribonucleotidase, mitochondrial OS=Homo sapiens GN=NT5M PE=1 SV=1"
gene1462,LOC106926499,ENSPMEG00000014473,sp|P05141|ADT2_HUMAN,3143.751524,-2.328414315,0.24607404,-9.462250937,3.01E-21,6.73E-19,ADP/ATP translocase 2 OS=Homo sapiens GN=SLC25A5 PE=1 SV=7
gene26680,LOC106908464,ENSPMEG00000020656,sp|Q9BQR3|PRS27_HUMAN,2745.762463,1.535264328,0.162461402,9.450025121,3.39E-21,7.49E-19,Serine protease 27 OS=Homo sapiens GN=PRSS27 PE=1 SV=1
gene1589,LOC106928131,ENSPMEG00000008827,NA,1457.038456,2.305038207,0.244202049,9.439061705,3.76E-21,8.23E-19,NA
gene3809,gclc,ENSPMEG00000018095,sp|P48506|GSH1_HUMAN,1259.134573,1.612940219,0.171144889,9.42441357,4.33E-21,9.36E-19,Glutamate--cysteine ligase catalytic subunit OS=Homo sapiens GN=GCLC PE=1 SV=2
gene8561,LOC106919991,ENSPMEG00000019117,sp|Q8TEZ7|MPRB_HUMAN,187.4958432,3.60945131,0.384641325,9.383940498,6.36E-21,1.35E-18,Membrane progestin receptor beta OS=Homo sapiens GN=PAQR8 PE=2 SV=1
gene22972,kcnj15,NA,sp|Q99712|KCJ15_HUMAN,1479.352007,-2.036236811,0.216993959,-9.383841006,6.36E-21,1.35E-18,ATP-sensitive inward rectifier potassium channel 15 OS=Homo sapiens GN=KCNJ15 PE=1 SV=2
gene1330,mst1,ENSPMEG00000018235,sp|Q2TV78|MST1L_HUMAN,30.02006766,8.389091076,0.894238114,9.381272101,6.52E-21,1.37E-18,Putative macrophage stimulating 1-like protein OS=Homo sapiens GN=MST1L PE=2 SV=2
gene5432,LOC106916572,ENSPMEG00000023960,sp|Q684P5|RPGP2_HUMAN,924.3514579,-1.644888339,0.175423914,-9.376648245,6.81E-21,1.42E-18,Rap1 GTPase-activating protein 2 OS=Homo sapiens GN=RAP1GAP2 PE=1 SV=2
gene13702,LOC106925596,ENSPMEG00000010761,sp|Q9UMR7|CLC4A_HUMAN,78.22457023,-2.09962013,0.224272162,-9.361929313,7.83E-21,1.61E-18,C-type lectin domain family 4 member A OS=Homo sapiens GN=CLEC4A PE=1 SV=1
gene14116,LOC106926064,ENSPMEG00000016177,sp|P00491|PNPH_HUMAN,455.1209772,-1.846021271,0.197654297,-9.33964656,9.67E-21,1.97E-18,Purine nucleoside phosphorylase OS=Homo sapiens GN=PNP PE=1 SV=2
gene28783,LOC106910715,NA,NA,156.3311177,-2.6794451,0.287676216,-9.314100201,1.23E-20,2.49E-18,NA
gene4814,LOC106915889,ENSPMEG00000002776,sp|Q5TCQ9|MAGI3_HUMAN,119.0107662,-2.056585945,0.221214688,-9.296787509,1.45E-20,2.90E-18,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3 OS=Homo sapiens GN=MAGI3 PE=1 SV=2"
gene7130,LOC106918435,ENSPMEG00000003280,sp|P35346|SSR5_HUMAN,970.2811122,-1.917310816,0.20742097,-9.243572708,2.38E-20,4.73E-18,Somatostatin receptor type 5 OS=Homo sapiens GN=SSTR5 PE=1 SV=3
gene16690,tmcc1,ENSPMEG00000008968,sp|O94876|TMCC1_HUMAN,676.7924341,1.824212029,0.197430605,9.239763127,2.47E-20,4.85E-18,Transmembrane and coiled-coil domains protein 1 OS=Homo sapiens GN=TMCC1 PE=1 SV=3
gene16049,LOC106928132,NA,NA,475.9675657,-3.185249232,0.34510222,-9.22987176,2.71E-20,5.27E-18,NA
gene6316,LOC106917548,ENSPMEG00000014345,sp|O15525|MAFG_HUMAN,111.9139843,2.175027135,0.235935044,9.218754032,3.01E-20,5.80E-18,Transcription factor MafG OS=Homo sapiens GN=MAFG PE=1 SV=1
gene13915,LOC106925837,ENSPMEG00000022598,sp|P63000|RAC1_HUMAN,1703.587577,1.934561634,0.210429598,9.193391275,3.81E-20,7.28E-18,Ras-related C3 botulinum toxin substrate 1 OS=Homo sapiens GN=RAC1 PE=1 SV=1
gene2065,LOC106933858,NA,sp|Q8IZN3|ZDH14_HUMAN,216.6739763,-1.45069336,0.157884707,-9.188308259,3.99E-20,7.56E-18,Probable palmitoyltransferase ZDHHC14 OS=Homo sapiens GN=ZDHHC14 PE=1 SV=1
gene4461,agpat4,ENSPMEG00000017557,sp|Q9NRZ7|PLCC_HUMAN,363.314881,1.212683025,0.132142526,9.177083725,4.43E-20,8.32E-18,1-acyl-sn-glycerol-3-phosphate acyltransferase gamma OS=Homo sapiens GN=AGPAT3 PE=1 SV=1
gene3310,higd1a,ENSPMEG00000006264,sp|Q9Y241|HIG1A_HUMAN,2063.927093,2.350027419,0.257049152,9.142327053,6.11E-20,1.14E-17,"HIG1 domain family member 1A, mitochondrial OS=Homo sapiens GN=HIGD1A PE=1 SV=1"
